,augment,embedding_fn,eps_per_epoch,img_shape,k_way_test,k_way_train,lr,n_epochs,n_queries_test,n_queries_train,n_shot,patience,post_processing_fn,reduce_lr_on_plateau,reduction_factor,restore_best_weights,test_accuracy,test_eps,test_loss,training_batches,validation_metric
0,True,<function build_embedding_model at 0x7fa3f5013620>,100,"(160, 120, 3)",15,30,0.001,100,1,5,5,30,<function class_augmentation_fn.<locals>.class_augmentation at 0x7fa3f16dcbf8>,False,0.75,True,0.7545999884605408,1000,0.8562481252886355,79,loss
1,True,<function build_embedding_model at 0x7fa3f5013620>,100,"(160, 120, 3)",5,30,0.001,100,1,5,5,30,<function class_augmentation_fn.<locals>.class_augmentation at 0x7fa390727d08>,False,0.75,True,0.8762000203132629,1000,0.41219245237526125,99,loss
2,True,<function build_embedding_model at 0x7fa3f5013620>,100,"(160, 120, 3)",15,30,0.001,100,1,5,1,30,<function class_augmentation_fn.<locals>.class_augmentation at 0x7fa2f005b8c8>,False,0.75,True,0.5480666756629944,1000,1.558697111159563,59,loss
3,True,<function build_embedding_model at 0x7fa3f5013620>,100,"(160, 120, 3)",5,30,0.001,100,1,5,1,30,<function class_augmentation_fn.<locals>.class_augmentation at 0x7fa29a4d8c80>,False,0.75,True,0.7179999947547913,1000,0.8782239437163808,86,loss
