,embedding_fn,eps_per_epoch,img_shape,k_way_test,k_way_train,lr,n_epochs,n_queries_test,n_queries_train,n_shot,patience,reduce_lr_on_plateau,reduction_factor,restore_best_weights,test_accuracy,test_eps,test_loss,training_batches,validation_metric
0,<function build_embedding_model at 0x7f90420991e0>,100,"(160, 120, 3)",15,30,0.001,100,1,5,5,1,False,0.75,True,0.607866644859314,1000,6.262327158331871,7,loss
1,<function build_embedding_model at 0x7f90420991e0>,100,"(160, 120, 3)",5,30,0.001,100,1,5,5,1,False,0.75,True,0.8064000010490417,1000,3.0828348471713523,5,loss
2,<function build_embedding_model at 0x7f90420991e0>,100,"(160, 120, 3)",15,30,0.001,100,1,5,1,1,False,0.75,True,0.43066665530204773,1000,9.123203059911727,6,loss
3,<function build_embedding_model at 0x7f90420991e0>,100,"(160, 120, 3)",5,30,0.001,100,1,5,1,1,False,0.75,True,0.6299999952316284,1000,5.934021414306015,2,loss
